epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,0.9383974199776671,0.5660908979541835,0.8271057038368356,0.6333511491181186,0.8183506564486049,0.6458467482292337
2,0.78246076296434,0.6629302952345951,0.7853840422592081,0.6632816675574559,0.7792935793326632,0.664734921657008
3,0.7518182488453384,0.6762219772142595,0.7673020243708428,0.6691608765366115,0.7629117345983928,0.6713887100236102
4,0.7367538558886242,0.6846747519294377,0.7692815224988011,0.6766435061464458,0.7632260824585452,0.6752522000429276
5,0.7252814680589819,0.6883498713708196,0.7633338548613384,0.6745056119722074,0.7532734197463875,0.674608285039708
6,0.7161457225430264,0.6917799828494426,0.765160250733843,0.6600748262960984,0.7530016188561136,0.6711740716892037
7,0.7087669647033492,0.6938625505328924,0.7633605761237479,0.6718332442544094,0.7523839711938249,0.673749731702082
8,0.7039584897647487,0.6958838662256523,0.7571919747115073,0.6729021913415286,0.7478478547200852,0.6739643700364886
9,0.6982802660328259,0.6991302217322063,0.763435958318695,0.677712453233565,0.7536225370850065,0.6795449667310581
10,0.6918942912469289,0.7051941688104864,0.7584789670259159,0.677712453233565,0.7481799155863909,0.6750375617085211
11,0.6853721609568897,0.7092368001960063,0.7578749674517226,0.6718332442544094,0.7477641957183333,0.6761107533805538
12,0.6770912453844371,0.7127894156560088,0.7565829944062653,0.6691608765366115,0.7457862337865295,0.6761107533805538
13,0.6755919137539035,0.7104618400098003,0.757238877673381,0.6761090326028861,0.7479163611695142,0.6776132217213995
14,0.6718805472625612,0.7157295112091143,0.7580727326685194,0.6729021913415286,0.7469080601109024,0.6758961150461472
15,0.6700073869792355,0.7171383069949774,0.7628146335124205,0.6739711384286478,0.7503282330941428,0.6791156900622451
16,0.6648375856793133,0.7185471027808403,0.7588719499104805,0.6712987707108499,0.7476826884711242,0.6748229233741146
17,0.6615443776507566,0.7213646943525664,0.7619278131481927,0.6707642971672902,0.7495621029822502,0.6743936467053016
18,0.661735611293124,0.72062967046429,0.7621621472640575,0.6702298236237306,0.750428452336192,0.6767546683837733
19,0.6585654625921262,0.7238147739801544,0.7618675887552829,0.6691608765366115,0.7493687080042278,0.6752522000429276
20,0.657004579815899,0.7217934582873944,0.7644846215406119,0.675040085515767,0.7524918123334486,0.6780424983902125
21,0.6577844564804884,0.7217934582873944,0.761965276626646,0.6691608765366115,0.7486339428056896,0.6771839450525864
22,0.6557320253267513,0.7203846625015313,0.7623674233669524,0.6702298236237306,0.7502290251480712,0.6769693067181799
23,0.6561538971997967,0.7242435379149822,0.7620779028364454,0.6702298236237306,0.749633658108831,0.6771839450525864
24,0.6563997838582739,0.722467230184981,0.7631469327520394,0.6702298236237306,0.7507867931065884,0.6763253917149603
25,0.6541420664256306,0.7233247580546368,0.7629237177536361,0.6702298236237306,0.7504541980629188,0.6761107533805538
26,0.6558507690239256,0.7222222222222222,0.7635024009000675,0.669695350080171,0.7513036114587679,0.6761107533805538
27,0.6538365273138012,0.7223447262036016,0.7631927606321668,0.6707642971672902,0.7509815107217851,0.6758961150461472
28,0.6536238654401976,0.7246723018498101,0.7633746703444542,0.6702298236237306,0.7509669532436085,0.6763253917149603
29,0.6531083248934442,0.7249785618032586,0.7638247243737486,0.6707642971672902,0.7512963070432421,0.6758961150461472
30,0.6534698500208859,0.7232022540732573,0.7635861771875113,0.6702298236237306,0.7512506245031559,0.6763253917149603
31,0.6528833322404983,0.7239372779615337,0.7635679065958183,0.6702298236237306,0.7512714760220084,0.6763253917149603
32,0.6538840842520097,0.7233860100453264,0.7634409235990475,0.6712987707108499,0.7511065429207285,0.6761107533805538
33,0.6533456402280292,0.7243660418963617,0.7635844857344839,0.6702298236237306,0.7512485428566738,0.6761107533805538
34,0.654456480992537,0.7237535219894646,0.7635244362689415,0.6702298236237306,0.7512201539281357,0.6763253917149603
35,0.6535346750792927,0.7242435379149822,0.7634894170587806,0.6707642971672902,0.7512109487909799,0.6763253917149603
36,0.6529047676749663,0.7232022540732573,0.7634366112300764,0.6712987707108499,0.7511308407624869,0.6756814767117407
37,0.6524167544596717,0.7256523337008453,0.7634701919326293,0.6707642971672902,0.751170658840082,0.6758961150461472
38,0.6527420546579752,0.7263261055984319,0.763476555708065,0.6707642971672902,0.7511717576176139,0.6758961150461472
39,0.6535263249654477,0.7232022540732573,0.7634816216887286,0.6702298236237306,0.7511665283750889,0.6758961150461472
40,0.6529651115181019,0.7243660418963617,0.7634870836850731,0.6702298236237306,0.7511718011920763,0.6758961150461472
